ir,red,heart_rate,gsr,cortisol
182341,136594,107,1963,19.89
182286,136531,108,1968,20.25
189805,139257,103,1895,19.87
189332,139208,98,1531,19.42
189421,139244,78,1079,19.03
189967,139676,80,967,18.66
189640,139549,123,2589,20.89
190127,139737,102,2167,20.68
190091,139654,102,2011,20.43
190447,139817,109,2237,20.82
191221,140026,101,2090,20.02
191126,140099,109,2112,20.28
190638,139842,108,2179,19.91
187633,137614,82,1107,18.91
175148,129051,110,2163,20.5
181004,130737,77,960,19.04
180649,130126,84,959,19.22
179294,129428,81,926,18.23
179597,129402,72,967,18.67
178617,129118,76,975,18.48
178309,128990,81,1008,18.84
176911,128473,79,995,18.82
175833,128198,74,1014,18.87
176578,128519,83,1023,19.36
178037,128974,98,1074,18.74
188705,133488,88,1182,19.03
168452,124868,81,1107,19.16
172297,126044,78,1178,19.33
172518,126136,87,1209,19.14
172674,126039,89,1314,19.84
172543,125966,82,1372,19.38
178782,127953,69,746,18.27
175482,126670,79,813,18.33
177020,127559,76,811,18.79
177554,127855,78,746,18.24
178891,128486,67,735,18.03
178866,128561,79,730,18.23
178602,128555,69,343,16.3
179027,128730,69,430,16.99
179215,129084,69,509,17.79
178056,128763,73,531,17.87
178707,128953,64,594,18.22
179307,129063,67,608,18.09
179510,129160,75,606,18.16
178635,129229,72,581,17.99
178666,129356,66,570,18.1
179872,129897,72,719,18.13
180042,129930,68,705,18.08
179457,129806,74,689,17.83
179209,129804,71,656,17.99
179445,129891,68,656,17.67
179087,129638,67,655,17.97
181278,130206,78,693,18.2
184231,130932,73,702,17.76
184591,130582,77,695,17.67
185450,130855,68,704,17.64
185717,130796,73,711,18.46
185907,130727,64,681,18.03
185646,130587,98,677,17.96
185350,130386,77,695,17.89
184442,130004,63,693,18.13
184460,130029,72,699,17.72
183728,129747,68,688,18.39
183002,129874,75,704,18.04
185846,130884,70,806,18.31
186277,131024,69,786,18.63
186886,131110,72,790,17.9
186457,130634,73,784,17.9
185722,130102,74,794,18.12
183964,129532,72,778,18.24
183014,129371,72,815,18.13
182258,129534,76,828,18.11
181696,130109,80,807,18.58
181975,129996,73,827,18.57
179487,129437,67,848,18.96
182333,130626,74,800,18.2
182050,130649,69,858,18.42
182881,130900,74,880,18.98
182769,126860,78,861,18.85
186225,128037,72,862,18.26
185902,127566,78,880,18.36
184986,126986,81,944,18.26
182836,130644,74,944,18.44
182542,130583,59,965,18.44
